day,cases
1,1
2,0
3,3
4,4
5,2
6,1
7,5
8,6
9,8
10,5
11,12
12,15
13,11
14,9
15,18
16,16
17,22
18,14
19,11
20,12
21,14
22,16
23,18
24,12
25,19
26,21
27,17
28,18
29,22
30,25
31,31
32,33
33,36
34,39
35,31
36,28
37,32
38,39
39,45
40,51
41,55
42,53
43,52
44,49
45,33
46,38
47,41
48,44
49,39
50,33
51,27
52,25
53,28
54,29
55,28
56,22
57,15
58,17
59,19
60,11
61,8
62,7
63,6
64,14
65,17
66,18
67,17
68,14
69,13
70,9
71,8
72,5
73,6
74,3
75,7
76,9
77,2
78,5
79,6
80,3
81,1
82,0
83,2
84,0
85,1
86,5
87,0
88,0
89,2
90,3
91,4
92,0
93,1
94,2
95,3
96,4
97,5
98,2
99,1
100,0
101,0
102,0
103,3
104,2
105,1
106,1
107,0
108,0
109,2
110,3
111,3
112,4
113,5
114,6
115,2
116,3
117,1
118,0
119,0
120,0
121,1
122,1
123,0
124,0
125,2
126,3
127,0
128,0
129,0
130,1
131,2
132,3
133,5
134,3
135,2
136,5
137,4
138,3
139,6
140,7
141,5
142,6
143,8
144,11
145,12
146,15
147,11
148,18
149,21
150,17
151,16
152,22
153,25
154,28
155,31
156,27
157,22
158,21
159,20
160,18
161,18
162,17
163,36
164,42
165,45
166,48
167,43
168,51
169,55
170,52
171,58
172,51
173,49
174,65
175,68
176,71
177,72
178,69
179,68
180,78
181,85
182,88
183,91
184,89
185,84
186,83
187,83
188,82
189,81
190,78
191,77
192,73
193,72
194,71
195,70
196,65
197,64
198,66
199,61
200,55
201,54
202,49
203,43
204,42
205,39
206,41
207,31
208,28
209,22
210,24
211,25
212,21
213,20
214,19
215,18
216,14
217,16
218,18
219,21
220,15
221,14
222,8
223,5
224,4
225,4
226,3
227,2
228,1
229,0
230,5
231,4
232,3
233,7
234,3
235,2
236,1
237,0
238,0
239,1
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
